Mitigation ID,Occurrences,Techniques,Priority
M1024,12,T1562 (score: 3); T1562.004 (score: 3); T1574 (score: 4); T1553 (score: 4); T1562.001 (score: 5); T1562.002 (score: 8); T1112 (score: 8); T1505 (score: 8); T1553.006 (score: 22); T1489 (score: 24); T1037 (score: 57); T1556 (score: 57),203
M1057,9,T1005 (score: 3); T1567 (score: 3); T1041 (score: 5); T1052 (score: 18); T1052.001 (score: 18); T1025 (score: 22); T1048 (score: 37); T1048.003 (score: 37); T1048.002 (score: 57),200
M1035,9,T1021 (score: 3); T1021.002 (score: 3); T1021.001 (score: 4); T1552 (score: 5); T1133 (score: 8); T1546.008 (score: 16); T1557 (score: 26); T1563.002 (score: 51); T1557.002 (score: 54),170
M1036,6,T1078 (score: 3); T1110 (score: 8); T1621 (score: 24); T1078.004 (score: 24); T1110.003 (score: 39); T1110.001 (score: 57),155
M1013,10,T1564 (score: 2); T1078 (score: 3); T1574 (score: 4); T1574.002 (score: 4); T1559 (score: 5); T1593 (score: 8); T1195 (score: 8); T1593.003 (score: 24); T1550 (score: 26); T1550.001 (score: 57),141
M1045,11,T1059 (score: 1); T1059.001 (score: 1); T1036 (score: 1); T1036.005 (score: 1); T1554 (score: 8); T1543 (score: 8); T1543.003 (score: 8); T1505 (score: 8); T1505.001 (score: 8); T1546.013 (score: 22); T1036.001 (score: 46),112
M1048,9,T1190 (score: 3); T1210 (score: 4); T1203 (score: 5); T1559 (score: 5); T1559.001 (score: 5); T1559.002 (score: 5); T1068 (score: 10); T1189 (score: 12); T1027.006 (score: 57),106
M1029,6,T1119 (score: 4); T1070 (score: 4); T1070.003 (score: 4); T1072 (score: 8); T1070.001 (score: 20); T1070.008 (score: 57),97
M1033,9,T1564 (score: 2); T1564.003 (score: 2); T1059.006 (score: 5); T1543 (score: 8); T1543.002 (score: 8); T1072 (score: 8); T1195 (score: 8); T1176 (score: 26); T1021.005 (score: 29),96
M1020,4,T1090 (score: 4); T1573 (score: 5); T1573.002 (score: 18); T1090.004 (score: 57),84
M1053,7,T1485 (score: 8); T1486 (score: 8); T1491 (score: 8); T1491.002 (score: 8); T1561 (score: 8); T1561.002 (score: 8); T1491.001 (score: 29),77
M1025,3,T1003 (score: 4); T1003.001 (score: 5); T1556 (score: 57),66
M1049,16,T1059 (score: 1); T1059.001 (score: 1); T1059.005 (score: 1); T1036 (score: 1); T1566 (score: 1); T1566.001 (score: 1); T1564 (score: 2); T1221 (score: 2); T1566.003 (score: 3); T1027 (score: 4); T1027.013 (score: 4); T1059.006 (score: 5); T1027.010 (score: 5); T1036.008 (score: 8); T1027.002 (score: 8); T1080 (score: 9),56
M1034,3,T1052 (score: 18); T1052.001 (score: 18); T1091 (score: 18),54
M1050,9,T1218 (score: 1); T1218.010 (score: 1); T1190 (score: 3); T1210 (score: 4); T1203 (score: 5); T1218.011 (score: 5); T1080 (score: 9); T1068 (score: 10); T1189 (score: 12),50
M1052,4,T1574 (score: 4); T1548 (score: 5); T1548.002 (score: 5); T1550.002 (score: 26),40
M1019,3,T1210 (score: 4); T1068 (score: 10); T1656 (score: 24),38
M1046,2,T1195 (score: 8); T1553.006 (score: 22),30
M1016,4,T1190 (score: 3); T1210 (score: 4); T1195 (score: 8); T1195.002 (score: 8),23
M1043,2,T1003 (score: 4); T1003.001 (score: 5),9
M1044,2,T1574 (score: 4); T1574.001 (score: 4),8
M1039,1,T1070.003 (score: 4),4
